Title	Duration	Genre	Release Date	Category	Deaf Actor	Deaf Director	Deaf Writer	Deaf Editor	Language	Country	Sign Language %	Company	Free To Watch	IMDb ID	Synopsis	URL
We Met in Virtual Reality	01 hours 31 minutes	Documentary	July 27, 2022	x Documentaries; x Documentaries by Non-Deaf Directors					American Sign Language; International Sign	USA	50-100% Sign Language Usage			tt16378482	Filmed entirely inside the world of VR, this documentary captures the excitement and surprising intimacy of a burgeoning cultural movement, demonstrating the power of online connection in an isolated world.	https://deafmovie.org/title/we-met-in-virtual-reality/
Welcome 2 My Deaf World		Documentary	March 1, 2005	x Documentaries; x Documentaries by Non-Deaf Directors									Free Documentary		This story of two teenagers on the edge of change is really the saga of what it means to be deaf in contemporary Australia. It is an exploration of a culture with its own language and history. Ignored, dismissed, secret – it has persisted and grown through centuries and shows us a different way of communicating, of knowing each other, of being human. Bethany, Scott and the school are its custodians. WELCOME 2 MY DEAF WORLD is an insight into their world.	https://deafmovie.org/title/welcome-2-my-deaf-world/
Welcome to the Ball		Drama; Short	May 11, 2009	Shorts with Deaf Actors | Leading Roles; Shorts	Alexander Reno-Gaus								Free Short		A young boy learns sign language in hopes of making a new friend.	https://deafmovie.org/title/welcome-to-the-ball/
What the #$*! Do We (K)now!?		Comedy; Drama; Sci-fi; Fantasy; Documentary; Mystery	April 1, 2004	x Documentaries; x Documentaries by Non-Deaf Directors	Marlee Matlin				American Sign Language; English	USA					“WHAT THE #$*! DO WE KNOW?!” is a radical departure from convention. It demands a freedom of view and greatness of thought so far unknown, indeed, not even dreamed of since Copernicus. It’s a documentary. It’s a story. It’s mind-blowing special effects. This film plunges you into a world where quantum uncertainty is demonstrated – where neurological processes, and perceptual shifts are engaged and lived by its protagonist – where everything is alive, and reality is changed by every thought.	https://deafmovie.org/title/what-the-do-we-know/
What the Bleep!?: Down the Rabbit Hole		Drama; Documentary	February 3, 2006	x Documentaries; x Documentaries by Non-Deaf Directors	Marlee Matlin					USA					Interviews with scientists and authors, animated bits, and a storyline involving a deaf photographer are used in this docudrama to illustrate the link between quantum mechanics, neurobiology, human consciousness and day-to-day reality.	https://deafmovie.org/title/what-the-bleep-down-the-rabbit-hole/
What the Deaf Man Heard		Comedy; Drama	November 23, 1997	Movies with No Deaf Actors | Leading Roles; Movies					English	USA					After 20 years of pretending not to be able to hear or speak, a man breaks his silence to get revenge on the man who made his life miserable. Stars Matthew Modine, James Earl Jones, Bernadette Peters, and Frankie Muniz. From the Hallmark Hall of Fame Collection.	https://deafmovie.org/title/what-the-deaf-man-heard/
What Women Want		Comedy; Fantasy; Romance	December 13, 2000		Liz Tannebaum				English	USA					Advertising executive Nick Marshall is as cocky as they come, but what happens to a chauvinistic guy when he can suddenly hear what women are thinking? Nick gets passed over for a promotion, but after an accident enables him to hear women’s thoughts, he puts his newfound talent to work against Darcy, his new boss, who seems to be infatuated with him.	https://deafmovie.org/title/what-women-want/
What?			September 9, 2021	Movies with Deaf Actors | Leading Roles; Movies by Deaf Writers; Movies	John Maucere; Amber Zion; Anthony Natale; Josep Daniel Rosello; Marina Longares Escrichs; Amanda Peterson; Liz Tannebaum; Michael Anthony Spady		D.J. Kurs; John Maucere		American Sign Language	USA	50-100% Sign Language Usage	Bus Door Films		tt10988894	WHAT? is a black and white, silent (and signing) comedy about a struggling deaf actor, sick of agreeing to increasingly humiliating tasks just to get a role, who decides to take matters into his own – hands.	https://deafmovie.org/title/what/
When Justice Fails		Drama; Thriller; Mystery	January 1, 1999	Movies with Deaf Actors | Leading Roles; Movies	Marlee Matlin				American Sign Language; English	USA					A detective (Jeff Fahey) investigating the murders of two sex offenders gets involved with a beautiful district attorney (Marlee Matlin) who becomes a main suspect.	https://deafmovie.org/title/when-justice-fails/
When Silence Speaks		Drama	August 26, 1994	Movies with No Deaf Actors | Leading Roles; Movies											When Silence Speaks tells the dramatic story of a deaf man, Gordy, searching to understand the meaning of the cross. A needless tragedy that almost takes the life of a little girl leaves Gordy seeking revenge. Then a remarkable change occurs not only in the condition of the little girl but also in the life of the man who caused her injury. Seeing a changed life allows Gordy to “hear” the message of the cross – a truth so wonderful he wants to share it with everyone. Let this film captivate your heart and change your life.	https://deafmovie.org/title/when-silence-speaks/
Where the Truth Lies		Drama; Thriller	September 13, 1999	TV Movies; TV Movies with Deaf Actors | Leading Roles	Marlee Matlin										Courtroom drama where an ambitious but inexperienced young lawyer defends a deaf political campaign manager accused of murder. But is her client too blinded by love to reveal all?	https://deafmovie.org/title/where-the-truth-lies/
White Tower	01 hours 23 minutes		September 13, 2004	x Documentaries; x Documentaries by Non-Deaf Directors					Chinese Sign Langauge	China				tt0424561	White Tower is about Li Jingming and Wong Rui’s budding romance in a part of the world where progress is painfully slow. He is twice divorced and she is engaged to a man from Taiwan, but their friends conspire to ensure their happiness with each other.	https://deafmovie.org/title/tt0424561/
Wild Praire Rose	01 hours 30 minutes		May 4, 2016	Movies with Deaf Actors | Leading Roles; Movies	Troy Kotsur				American Sign Language	USA	50-100% Sign Language Usage		Free Movie	tt5330986	In 1952 Rose Miller returns to her rural hometown of Beresford, South Dakota to care for her ailing mother. Once there, she falls in love with a deaf man and must decide if she has the courage to follow her heart.	https://deafmovie.org/title/tt5330986/
Wiren		Biography	December 10, 2018	Movies with No Deaf Actors | Leading Roles; Movies					Dutch	Suriname					When nine-year-old Wiren meets the American Dr. Young a world of opportunities opens up for the small deaf boy. Driven by his ambition to get ahead in life he leaves his life in rural Nickerie behind and winds up at the Kennedy boarding school in the capital Paramaribo. He struggles to comply to the strict, conservative Catholic methods at the school, but turns out to become the catalyst for the change that leads to the introduction of sign language. After being rejected by the university he realizes that deaf people do not enjoy the same rights and opportunities as hearing people. Witnessing the constant withhold of deaf people in Suriname leads Wiren to seek justice by suing the government to coerce them to adhere to the Convention of the Rights of People with Disabilities. Will he succeed?	https://deafmovie.org/title/wiren/
Wonderstruck		Drama; Mystery	May 18, 2017	Movies with Deaf Actors | Leading Roles	Millicent Simmonds; Lauren Ridloff; Anthony Natale				American Sign Language; English	USA	1-10% Sign Language Usage				Tells the tale of two children separated by fifty years. In 1927, Rose searches for the actress whose life she chronicles in her scrapbook; in 1977, Ben runs away from home to find his father.	https://deafmovie.org/title/wonderstruck/
Words	15 minutes		January 14, 2015	Shorts with Deaf Actors | Leading Roles; Shorts	Russell Harvard						50-100% Sign Language Usage		Free Short	tt1730176	Words, directed by Anup S Bhandari, is a story about Juliet (Miriam Liora Ganz) and Owen (Russell Harvard), a deaf man, who meet at the iconic Bethesda Fountain in the snow covered Central Park. Their conversation begins awkwardly but over the next few days, she comes up with interesting ways to communicate with him. The friendship slowly appears to blossom into romance but the difference between silence and words may be more than it seems. The film uses American Sign Language and makes references to the works of popular deaf icons – Beethoven’s musical masterpiece “Moonlight Sonata” and Chuck Baird’s painting “Music for the eyes”. The characters names are a reference to Beethoven and his real life love Giulietta Guicciardi, to whom Beethoven dedicated the Moonlight Sonata.	https://deafmovie.org/title/tt1730176/
Wrong Game			April 4, 2012	Movies with Deaf Actors | Leading Roles; Movies by Deaf Directors; Movies by Deaf Writers; Movies	Mindy Moore; Norman Weiss; Vikee Waltrip; Willy Conley; Antoinette Abbamonte-Plantinga; Camille Jeter-Lorello; Bernard Bragg; Liz Tannebaum; Andy Vasnick	Mark Wood			American Sign Language	USA	50-100% Sign Language Usage				A group of people are called to a mansion to participate in a game where the winner receives 1 million dollars. Losing the game is not an option. To add further drama, each participant holds highly specialized skills and collectively, they must determine whose skills or expertise is most beneficial to the game.	https://deafmovie.org/title/wrong-game/
You & Me	01 hours 30 minutes		December 4, 2018	Movies with Deaf Actors | Leading Roles; Movies	Hillary Baack				American Sign Language; English	USA					A deaf woman meets a recently blinded man.	https://deafmovie.org/title/you-me/
